contrast,left_representation,right_representation,evaluation_level,metric,n_paired_repetitions,delta_mean,delta_sd,delta_median,delta_q025,delta_q975,proportion_delta_positive,proportion_delta_zero
K0 only minus B only,K0 only,B only,sample,accuracy,20,0.032498101746393324,0.018547711353319216,0.03227031131359148,0.0015755504935459188,0.06038344722854978,0.95,0.0
K0 only minus B only,K0 only,B only,sample,balanced_accuracy,20,0.016285887497746593,0.021960443908208567,0.018356633190083793,-0.01504221887521003,0.05172088438657606,0.7,0.0
K0 only minus B only,K0 only,B only,sample,macro_f1,20,0.02298658570068693,0.021055585839046813,0.02210484225105891,-0.008795358389926197,0.05526760205523218,0.85,0.0
K0 only minus B only,K0 only,B only,sample,roc_auc,20,0.02390287623356459,0.023738246407759192,0.021962101871936035,-0.015089722378911475,0.07137944795622266,0.85,0.0
K0 only minus B only,K0 only,B only,participant,accuracy,20,0.041509433962264204,0.027784074699683914,0.037735849056603876,0.004481132075471697,0.09528301886792456,0.95,0.05
K0 only minus B only,K0 only,B only,participant,balanced_accuracy,20,0.03139423076923076,0.03740876345392434,0.034375000000000044,-0.03950721153846151,0.08908653846153844,0.85,0.0
K0 only minus B only,K0 only,B only,participant,macro_f1,20,0.03840781840938045,0.036402114404092654,0.040800931274933616,-0.025484028343536566,0.10225607781529622,0.85,0.0
K0 only minus B only,K0 only,B only,participant,roc_auc,20,0.026201923076923078,0.029942273239028584,0.02548076923076925,-0.01972355769230768,0.08278846153846155,0.75,0.0
[B|K0] minus B only,[B|K0],B only,sample,accuracy,20,0.01602126044039482,0.016325956834706813,0.012148823082763827,-0.011864085041761643,0.0425968109339408,0.8,0.1
[B|K0] minus B only,[B|K0],B only,sample,balanced_accuracy,20,0.006788966684306336,0.01984009283775334,0.007481347514843473,-0.025571895662388558,0.03942732654497245,0.6,0.0
[B|K0] minus B only,[B|K0],B only,sample,macro_f1,20,0.010476250667807325,0.019073096989038914,0.009796130400574199,-0.021204689492242024,0.041207996454056844,0.7,0.0
[B|K0] minus B only,[B|K0],B only,sample,roc_auc,20,0.009881092224399712,0.016474864136125117,0.013930484237705099,-0.02104070835829056,0.03525214292775686,0.75,0.0
[B|K0] minus B only,[B|K0],B only,participant,accuracy,20,0.02547169811320758,0.024884737382145108,0.018867924528301883,-0.009905660377358488,0.07099056603773593,0.75,0.2
[B|K0] minus B only,[B|K0],B only,participant,balanced_accuracy,20,0.02466346153846154,0.03631339831346774,0.025240384615384637,-0.03637019230769229,0.08685096153846146,0.6,0.2
[B|K0] minus B only,[B|K0],B only,participant,macro_f1,20,0.026647705699760927,0.03309261487631787,0.02357784520918721,-0.024270071058048702,0.08692121870963428,0.7,0.2
[B|K0] minus B only,[B|K0],B only,participant,roc_auc,20,0.01108173076923078,0.02044049029573537,0.01610576923076923,-0.02413461538461536,0.03825721153846151,0.65,0.0
[B|K0] minus K0 only,[B|K0],K0 only,sample,accuracy,20,-0.016476841305998503,0.012302952678952976,-0.014047076689445714,-0.03580106302201978,0.005713743356112368,0.1,0.0
[B|K0] minus K0 only,[B|K0],K0 only,sample,balanced_accuracy,20,-0.009496920813440257,0.012779703557595612,-0.00877888009490524,-0.02605067428079617,0.01620625461587215,0.2,0.0
[B|K0] minus K0 only,[B|K0],K0 only,sample,macro_f1,20,-0.012510335032879604,0.012857555805104247,-0.013321924008074637,-0.029587061267554168,0.013141401483549664,0.1,0.0
[B|K0] minus K0 only,[B|K0],K0 only,sample,roc_auc,20,-0.014021784009164878,0.013103484492657082,-0.012329830601124692,-0.040002747716052015,0.003812710440157966,0.1,0.0
[B|K0] minus K0 only,[B|K0],K0 only,participant,accuracy,20,-0.01603773584905662,0.02722203411037822,-0.018867924528301883,-0.057075471698113306,0.03867924528301886,0.2,0.05
[B|K0] minus K0 only,[B|K0],K0 only,participant,balanced_accuracy,20,-0.006730769230769218,0.030611071884099256,-0.006250000000000033,-0.05399038461538465,0.05478365384615385,0.4,0.0
[B|K0] minus K0 only,[B|K0],K0 only,participant,macro_f1,20,-0.011760112709619524,0.031725907355737576,-0.012640702604480913,-0.060210451117157664,0.05386308868914376,0.3,0.0
[B|K0] minus K0 only,[B|K0],K0 only,participant,roc_auc,20,-0.015120192307692298,0.01641409063398591,-0.013701923076922973,-0.050012019230769277,0.0053124999999999796,0.15,0.0
