C,repeat,oof_samples,oof_participants,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
0.02,1,1317,106,0.7091875474563402,0.6572871174277889,0.6493622410853128,0.7941966684578183,0.1994495728090561,0.7040680735748222,0.5878158650777251,195,164,219,739,0.7358490566037735,0.6822115384615384,0.6677115987460815,0.8181818181818182,0.19149984971890063,0.7221153846153846,0.5684222533525379,15,11,17,63
0.02,2,1317,106,0.6818526955201215,0.6149853745907502,0.6110210799742007,0.77700904736562,0.21294239032840095,0.6474055163670833,0.6245345269149136,168,191,228,730,0.7358490566037735,0.6692307692307693,0.6602564102564102,0.8205128205128205,0.19949755225919052,0.6725961538461538,0.5871638856644918,14,12,16,64
0.02,3,1317,106,0.6940015186028854,0.6424945191060764,0.6337963739182093,0.782279848730416,0.20582849340766893,0.6831112868615559,0.6040694409278115,190,169,234,724,0.7169811320754716,0.6826923076923077,0.6580645161290323,0.8,0.19965717767132685,0.6942307692307693,0.5878309023565005,16,10,20,60
0.02,4,1317,106,0.6636294608959757,0.6015884415652386,0.5956508088979817,0.7614431879375336,0.2108052995939161,0.6664316327539384,0.6146582030619456,167,192,251,707,0.6886792452830188,0.5860576923076923,0.5849056603773586,0.7924528301886793,0.1986512157603768,0.6961538461538461,0.5824532070514518,10,16,17,63
0.02,5,1317,106,0.6340167046317388,0.5620751216845681,0.5583931145406076,0.7411385606874329,0.2304039767897556,0.5994789516227517,0.6623433657356552,145,214,268,690,0.6886792452830188,0.5990384615384615,0.5949044585987262,0.7898089171974523,0.22152801621453846,0.6120192307692308,0.6388376935931098,11,15,18,62
0.02,6,1317,106,0.6780561883067577,0.6132466082425666,0.6085369136550239,0.7735042735042735,0.20858758053568469,0.661258948249894,0.6084282211408496,169,190,234,724,0.6981132075471698,0.6182692307692308,0.6117216117216117,0.7948717948717948,0.19991496044869161,0.6677884615384616,0.5892708765198625,12,14,18,62
0.02,7,1317,106,0.715261958997722,0.6527541128511698,0.6490632805255435,0.8014822657490736,0.19869054344960646,0.6790798495007588,0.5850413225960691,185,174,201,757,0.7735849056603774,0.7201923076923077,0.7087912087912087,0.8461538461538461,0.18702322928472156,0.7,0.5611705592638478,16,10,14,66
0.02,8,1317,106,0.7175398633257403,0.6525782008711277,0.6498662138520119,0.8037974683544303,0.19742947908347291,0.6969530882002314,0.5833252377210927,183,176,196,762,0.7924528301886793,0.7197115384615385,0.7197115384615385,0.8625,0.1880672374712015,0.7177884615384617,0.5626903333751785,15,11,11,69
0.02,9,1317,106,0.7175398633257403,0.6534490378632365,0.6504437912040869,0.8035902851108765,0.19802665632837865,0.6957842185146632,0.5888525898417916,184,175,197,761,0.7641509433962265,0.7139423076923077,0.7000565930956424,0.8387096774193549,0.19029343981102287,0.7201923076923077,0.5689251502360944,16,10,15,65
0.02,10,1317,106,0.7031131359149583,0.6383075232174737,0.6346828756467311,0.7927927927927928,0.2089820860312776,0.6530841295410006,0.6138249709510628,178,181,210,748,0.7452830188679245,0.6625,0.6603773584905661,0.8301886792452831,0.20098108093503667,0.6543269230769231,0.5924314722083532,13,13,14,66
0.02,11,1317,106,0.6735003796507213,0.5996650403289118,0.5972648916197303,0.7724867724867724,0.20928000622795306,0.65416867778159,0.6087041995688838,157,202,228,730,0.7169811320754716,0.6307692307692307,0.6272855133614628,0.810126582278481,0.19440209479793427,0.6860576923076923,0.57485753006693,12,14,16,64
0.02,12,1317,106,0.680334092634776,0.617424881223068,0.612209528005959,0.7747458533975388,0.20271677893013895,0.6879859386721409,0.5906379547107612,172,187,234,724,0.6981132075471698,0.63125,0.6202418271383789,0.7922077922077922,0.19226469580530547,0.7240384615384615,0.5676915508403881,13,13,19,61
0.02,13,1317,106,0.70083523158694,0.6393542721896244,0.6345191608769883,0.7902023429179978,0.19445731962919963,0.7052863730729642,0.5740175173534748,181,178,216,742,0.7547169811320755,0.6817307692307693,0.6769807782466011,0.8354430379746836,0.189587307829206,0.7206730769230769,0.5644948221662995,14,12,14,66
0.02,14,1317,106,0.6924829157175398,0.6257756119120033,0.6222124636562277,0.7851458885941645,0.20374792077747872,0.6676353940719116,0.596904398101566,172,187,218,740,0.7169811320754716,0.6567307692307692,0.6439767129422302,0.8051948051948052,0.1909079574831995,0.7043269230769231,0.5670832209794553,14,12,18,62
0.02,15,1317,106,0.7114654517843584,0.6440486505661167,0.6417424520089797,0.7997892518440464,0.2050990903502574,0.6817592361058611,0.6141309084936606,178,181,199,759,0.7735849056603774,0.7072115384615385,0.7018284106891701,0.8481012658227848,0.19372471664952615,0.7139423076923077,0.5787844585316555,15,11,13,67
0.02,16,1317,106,0.6856492027334852,0.6158533039468251,0.6128802767301313,0.7807203389830508,0.22072635457606704,0.6287922842970208,0.6468427027477553,166,193,221,737,0.7264150943396226,0.6629807692307692,0.652065647990945,0.8129032258064516,0.2047505809440016,0.6658653846153846,0.6063626078980916,14,12,17,63
0.02,17,1317,106,0.7107061503416856,0.6417850559138409,0.6398987249476653,0.7995791688584956,0.2045568914591426,0.6700371014357906,0.6062887412225366,176,183,198,760,0.7358490566037735,0.65625,0.6521331458040319,0.8227848101265823,0.19234531432355306,0.698076923076923,0.5751551554351882,13,13,15,65
0.02,18,1317,106,0.7099468488990129,0.6560673641116299,0.6489440983386924,0.7952840300107181,0.19895534946813948,0.6983734684027192,0.5876469328894569,193,166,216,742,0.7264150943396226,0.65,0.6440069484655472,0.8152866242038217,0.19251143651487962,0.701923076923077,0.572772978484403,13,13,16,64
