schema_version,created_utc,C,repeat,fold,split_seed,model_seed,train_samples,test_samples,train_participants,test_participants,participant_overlap,train_nonibd_samples,train_ibd_samples,test_nonibd_samples,test_ibd_samples,test_nonibd_participants,test_ibd_participants,selected_total,selected_B,selected_K0,abs_coef_mass_total,abs_coef_mass_B,abs_coef_mass_K0,n_iter,convergence_warning,convergence_warning_messages,elapsed_seconds,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp,feature_block
1,2026-09-06T05:05:25.500420+00:00,0.02,1,1,13,20261823,1078,239,84,22,0,300,778,59,180,5,17,74,0,74,4.076494890265167,0.0,4.076494890265167,3772,False,[],1936.3710582256317,0.7112970711297071,0.5975517890772128,0.6001697175415202,0.810958904109589,0.19841666994893822,0.6382297551789078,0.5802926561558713,22,37,32,148,0.7727272727272727,0.6411764705882352,0.6507936507936507,0.8571428571428571,0.17627875553077296,0.7058823529411764,0.5311966116092196,2,3,2,15,K0
1,2026-09-06T05:34:12.106473+00:00,0.02,1,2,13,20261920,1024,293,85,21,0,253,771,106,187,7,14,78,0,78,3.870024194344296,0.0,3.870024194344296,3366,False,[],1726.581482887268,0.7303754266211604,0.707042679850671,0.7074628751974723,0.7893333333333333,0.19930833671563522,0.7262132983553627,0.5876429064709584,66,40,39,148,0.7142857142857143,0.7142857142857143,0.6971153846153846,0.7692307692307693,0.18315893444077555,0.7448979591836735,0.5462195335959025,5,2,4,10,K0
1,2026-09-06T05:49:08.211233+00:00,0.02,1,3,13,20262017,1038,279,85,21,0,302,736,57,222,4,17,78,0,78,3.8850936006056145,0.0,3.8850936006056145,1760,False,[],896.081196308136,0.7455197132616488,0.579302987197724,0.5835383159886471,0.8432671081677704,0.1904275209796859,0.6116247826774142,0.5856261891916383,17,40,31,191,0.7142857142857143,0.5367647058823529,0.5367647058823529,0.8235294117647058,0.18455842021203428,0.6323529411764706,0.5633303096214942,1,3,3,14,K0
1,2026-09-06T06:05:09.523532+00:00,0.02,1,4,13,20262114,1082,235,85,21,0,286,796,73,162,6,15,88,0,88,4.212481075315736,0.0,4.212481075315736,2060,False,[],961.2784864902496,0.7106382978723405,0.6245560629122273,0.6313215208564046,0.8023255813953488,0.18319057173926767,0.772027735498055,0.5447967576111536,29,44,24,138,0.8095238095238095,0.7166666666666667,0.7375,0.875,0.18289494007436272,0.8222222222222223,0.5488497466027689,3,3,1,14,K0
1,2026-09-06T06:25:05.406387+00:00,0.02,1,5,13,20262211,1046,271,85,21,0,295,751,64,207,4,17,67,0,67,3.8994670125539415,0.0,3.8994670125539415,2300,False,[],1195.8495347499847,0.6937269372693727,0.7293553743961353,0.6594291770762359,0.7675070028011205,0.20209953921571341,0.7966485507246377,0.5965449846346786,51,13,70,137,0.7142857142857143,0.8235294117647058,0.6785714285714286,0.7857142857142857,0.1997248933212176,0.8676470588235294,0.5878644978093353,4,0,6,11,K0
1,2026-09-06T06:54:08.612141+00:00,0.02,2,1,1022,20262832,1038,279,84,22,0,274,764,85,194,6,16,73,0,73,4.084711049988982,0.0,4.084711049988982,3190,False,[],1743.1711194515228,0.6415770609318996,0.5770163735597331,0.5770163735597331,0.7422680412371134,0.2282651439360531,0.5983626440266829,0.6563737536725016,35,50,50,144,0.7727272727272727,0.6875,0.696969696969697,0.8484848484848485,0.200108013179291,0.6354166666666666,0.5920721581913464,3,3,2,14,K0
1,2026-09-06T07:20:48.075555+00:00,0.02,2,2,1022,20262929,1060,257,85,21,0,330,730,29,228,3,18,73,0,73,4.008408064217292,0.0,4.008408064217292,3109,False,[],1599.42839717865,0.7276264591439688,0.5906684815486993,0.5443262411347518,0.8333333333333334,0.17869800064250185,0.7171808832425892,0.5342327092087242,12,17,53,175,0.6666666666666666,0.5277777777777778,0.505050505050505,0.7878787878787878,0.18661676675314812,0.6851851851851852,0.5545079689939418,1,2,5,13,K0
1,2026-09-06T07:49:58.298659+00:00,0.02,2,3,1022,20263026,1061,256,85,21,0,269,792,90,166,7,14,75,0,75,4.127105568622937,0.0,4.127105568622937,3649,False,[],1750.1994352340698,0.78125,0.7346720214190093,0.7454545454545455,0.8409090909090909,0.17072610708601652,0.8106425702811244,0.5191352768715342,52,38,18,148,0.8571428571428571,0.8214285714285714,0.8328912466843501,0.896551724137931,0.1710765978400552,0.806122448979592,0.5280357237267703,5,2,1,13,K0
1,2026-09-06T08:12:03.722505+00:00,0.02,2,4,1022,20263123,1071,246,85,21,0,289,782,70,176,5,16,75,0,75,3.882436182248057,0.0,3.882436182248057,2358,False,[],1325.3900485038757,0.6097560975609756,0.5508928571428572,0.5462998539921617,0.7159763313609467,0.2528416899146659,0.53125,0.720600415396423,29,41,55,121,0.6666666666666666,0.64375,0.6100795755968169,0.7586206896551724,0.21592835256619308,0.6375,0.6225095587720707,3,2,5,11,K0
1,2026-09-06T08:32:23.774865+00:00,0.02,2,5,1022,20263220,1038,279,85,21,0,274,764,85,194,5,16,95,0,95,4.074112623260589,0.0,4.074112623260589,2365,False,[],1220.017864227295,0.6917562724014337,0.6296240145542753,0.6312699778706663,0.7806122448979592,0.19934581485334893,0.7057610673135234,0.597498559827554,40,45,41,153,0.8095238095238095,0.7375,0.7375,0.875,0.1823988847226758,0.7749999999999999,0.5471531048581337,3,2,2,14,K0
1,2026-09-06T08:56:26.385081+00:00,0.02,3,1,2031,20263841,1049,268,85,21,0,305,744,54,214,5,16,72,0,72,3.9359051094506867,0.0,3.9359051094506867,2775,False,[],1442.5755846500397,0.7761194029850746,0.6659743856005538,0.6613881401617251,0.8584905660377359,0.15421148540048693,0.7904119072343372,0.47770951183615945,26,28,32,182,0.7619047619047619,0.6375,0.6464646464646464,0.8484848484848485,0.15931463475039245,0.8125,0.49547013349924013,2,3,2,14,K0
1,2026-09-06T09:14:19.892867+00:00,0.02,3,2,2031,20263938,1075,242,84,22,0,266,809,93,149,7,15,71,0,71,4.053183934884146,0.0,4.053183934884146,2301,False,[],1073.473326921463,0.6239669421487604,0.6218878545139641,0.6149663432118193,0.6738351254480287,0.2409793539764534,0.6415530057010898,0.6800917297796513,57,36,55,94,0.6363636363636364,0.6571428571428571,0.6239316239316239,0.6923076923076923,0.24900448628535232,0.5809523809523809,0.694058982099365,5,2,6,9,K0
