C,repeat,oof_samples,oof_participants,sample_accuracy,sample_balanced_accuracy,sample_macro_f1,sample_positive_f1,sample_brier,sample_roc_auc,sample_log_loss,sample_tn,sample_fp,sample_fn,sample_tp,participant_accuracy,participant_balanced_accuracy,participant_macro_f1,participant_positive_f1,participant_brier,participant_roc_auc,participant_log_loss,participant_tn,participant_fp,participant_fn,participant_tp
0.02,1,1317,106,0.7190584662110858,0.655363716191462,0.6523231256599789,0.8046462513199577,0.19496352688690782,0.7072751961200505,0.5800683012754088,185,174,196,762,0.7452830188679245,0.6884615384615385,0.6760611205432937,0.8258064516129032,0.18523786814051316,0.7245192307692309,0.5552629461951671,15,11,16,64
0.02,2,1317,106,0.6902050113895216,0.6207265019393933,0.6178699436763953,0.7841269841269841,0.20587227160950855,0.6620134798006524,0.6053868725943002,168,191,217,741,0.7547169811320755,0.6947115384615384,0.6845238095238095,0.8333333333333334,0.19130951824124534,0.6879807692307692,0.5690747260085185,15,11,15,65
0.02,3,1317,106,0.6886864085041762,0.6283910305243631,0.6226329384270467,0.7805139186295503,0.20444036834472173,0.6820936142497426,0.5992377626397675,178,181,229,729,0.7264150943396226,0.6629807692307692,0.652065647990945,0.8129032258064516,0.195529657479604,0.7096153846153845,0.5772573195160605,14,12,17,63
0.02,4,1317,106,0.6750189825360668,0.6050630666255721,0.6017167115110679,0.7725823591923485,0.21033142718186454,0.6600900785643257,0.6135254751929698,162,197,231,727,0.7075471698113207,0.5985576923076923,0.5998051394470831,0.8074534161490683,0.19488661604202448,0.6903846153846154,0.5748322985396834,10,16,15,65
0.02,5,1317,106,0.6651480637813212,0.5904405650118341,0.5879671308445227,0.766295707472178,0.2234308377364794,0.6155247410750111,0.6463798177175083,153,206,235,723,0.6698113207547169,0.5735576923076923,0.5703532136653156,0.7770700636942676,0.21324178755575798,0.6307692307692307,0.6188113659886795,10,16,19,61
0.02,6,1317,106,0.7160212604403948,0.6367301306691633,0.6381357775087277,0.8060165975103735,0.19609410547379263,0.686191927239316,0.5788471994110523,166,193,181,777,0.7264150943396226,0.6370192307692308,0.6352201257861636,0.8176100628930818,0.18761271651584185,0.7024038461538462,0.5610072265438044,12,14,15,65
0.02,7,1317,106,0.7380410022779044,0.661445036956054,0.6640715972984663,0.8217054263565892,0.18524771523978126,0.7234096684713395,0.5525978280987525,177,182,163,795,0.8113207547169812,0.7192307692307692,0.7306910569105691,0.8780487804878049,0.17424953135347362,0.7548076923076923,0.5307916703719502,14,12,8,72
0.02,8,1317,106,0.7114654517843584,0.6344694436529213,0.6349352240896359,0.8020833333333334,0.19313018955108144,0.7035592372689156,0.5727388457349855,167,192,188,770,0.7358490566037735,0.65625,0.6521331458040319,0.8227848101265823,0.1808864403158479,0.7168269230769231,0.5461008070806054,13,13,15,65
0.02,9,1317,106,0.7266514806378133,0.6614537598641552,0.6594611366809743,0.8107255520504731,0.19447412298763742,0.6981161426137321,0.590967768219323,186,173,187,771,0.7641509433962265,0.7009615384615384,0.6931094383323683,0.8407643312101911,0.18564033406397218,0.7153846153846154,0.5585180355022156,15,11,14,66
0.02,10,1317,106,0.7114654517843584,0.6527570204872035,0.6475057896783136,0.7976570820021299,0.20180162775511637,0.680145498107129,0.5995450140194171,188,171,209,749,0.7358490566037735,0.65625,0.6521331458040319,0.8227848101265823,0.1930115902776241,0.6990384615384616,0.5766008427936501,13,13,15,65
0.02,11,1317,106,0.7069096431283219,0.6217587127313751,0.6238056193611026,0.8006198347107438,0.20074844720590118,0.6669942603264694,0.5916368923349353,156,203,183,775,0.7075471698113207,0.585576923076923,0.5885814448478778,0.8098159509202454,0.18438091283482985,0.7038461538461538,0.554149659813112,9,17,14,66
0.02,12,1317,106,0.7023538344722855,0.638656439541524,0.6346326963906582,0.7919320594479831,0.1981959805228769,0.6980041986264328,0.5807189377782819,179,180,212,746,0.7452830188679245,0.6754807692307692,0.6685581933989577,0.8280254777070064,0.1867807348057997,0.726923076923077,0.5535359387781832,14,12,15,65
0.02,13,1317,106,0.7334851936218679,0.6591843499398119,0.6606938253318252,0.8178515827711469,0.1884629485200124,0.7178793447351435,0.5613815548408175,178,181,170,788,0.7641509433962265,0.6879807692307692,0.6855345911949686,0.8427672955974843,0.1820358471496579,0.7269230769230769,0.5483249801670522,14,12,13,67
0.02,14,1317,106,0.7053910402429765,0.6241982193636929,0.6252618054455533,0.7985462097611631,0.19883678389630857,0.6745352143800047,0.5861568964645806,160,199,189,769,0.7641509433962265,0.675,0.6772622092315187,0.84472049689441,0.18310593031007327,0.7057692307692308,0.5509216404382172,13,13,12,68
0.02,15,1317,106,0.7380410022779044,0.6675408959008147,0.668267535389834,0.8204060385216033,0.19151227233081683,0.7152697413948512,0.5806554993462829,184,175,170,788,0.7830188679245284,0.7134615384615384,0.7106918238993711,0.8553459119496856,0.18020716965268865,0.7456730769230769,0.5453120407224795,15,11,12,68
0.02,16,1317,106,0.6924829157175398,0.6170672419909166,0.6159230096237971,0.7874015748031497,0.21438324450827012,0.6408589738370909,0.6301902079454816,162,197,208,750,0.7547169811320755,0.6947115384615384,0.6845238095238095,0.8333333333333334,0.19850651893541657,0.6692307692307692,0.5895253974948633,15,11,15,65
0.02,17,1317,106,0.7312072892938497,0.6506518919987672,0.653719658932232,0.8175257731958763,0.19294253326517702,0.6869479126080913,0.5781232193237305,170,189,165,793,0.8018867924528302,0.7129807692307693,0.7212971078001753,0.8711656441717791,0.17947740318501873,0.7245192307692307,0.5458989675760707,14,12,9,71
0.02,18,1317,106,0.7251328777524677,0.6726016364175598,0.6657791574130156,0.8066239316239316,0.19673354933816375,0.7020981501619553,0.5831359541807021,200,159,203,755,0.7547169811320755,0.6817307692307693,0.6769807782466011,0.8354430379746836,0.18796022331436615,0.7105769230769231,0.5621514526094646,14,12,14,66
0.02,19,1317,106,0.7296886864085042,0.6548330726153023,0.6561680482954045,0.8151609553478713,0.1864508221643637,0.7220110955391049,0.5549068684189975,176,183,173,785,0.8018867924528302,0.7389423076923077,0.7358490566037736,0.8679245283018868,0.1734279912544808,0.7456730769230768,0.5285866902988092,16,10,11,69
0.02,20,1317,106,0.7175398633257403,0.6429989939579324,0.643247447003105,0.8060479666319083,0.19657071292363504,0.6742924267711865,0.5994638860690874,172,187,185,773,0.7735849056603774,0.7072115384615385,0.7018284106891701,0.8481012658227848,0.1815097371218389,0.7177884615384615,0.5558070542651503,15,11,13,67
